Sector,company_name,location,start_date,duration,stipend,skills
Climate Change Research & Policy,Amplus Solar,Nagpur,1 Aug'24,12 Months,"? 11,000-16,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Climate Science, Research, GIS"
Academic Conference & Event Management,VIT Vellore,Indore,1 Oct'24,4 Months,"? 10,000 /month","Event Planning, Communication, Budgeting, Vendor Management, Coordination, Leadership, Planning, MS Office"
Airline Route Planning,Alliance Air,Bhopal,1 Oct'24,1 Month,"? 15,000-20,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Poultry Science & Management,Drools Pet Food,Bhopal,1 Nov'24,1 Month,Unpaid,"Leadership, Communication, Planning, MS Office, Problem Solving"
Government Affairs & Advocacy,Ministry of Housing & Urban Affairs,Indore,15 Aug'24,8 Months,Unpaid,"Go, Concurrency, REST APIs, Microservices"
Disaster Management & Emergency Response,Carnegie India,Kochi,15 Aug'24,3 Months,"? 16,000-18,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
University Outreach & Community Engagement,UPES Dehradun,Ahmedabad,1 Nov'24,10 Months,"? 8,000-18,000 /month","Community Management, Social Media, Communication, Event Planning, Unity, C#, Game Development, 3D"
Fund Accounting,Mazars India,Ahmedabad,1 Aug'24,8 Months,"? 20,000 /month","Tally, Excel, Financial Statements, GST, Bookkeeping"
Restaurant Management,Club Mahindra,Bangalore,1 Jan'25,4 Months,"? 7,500-17,500 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Adventure Tourism & Eco-Tourism Operations,Oberoi Hotels & Resorts,Hyderabad,1 Oct'24,3 Months,"? 12,500-17,500 /month","Process Optimization, Excel, Communication, Project Management, Tourism Knowledge, Customer Service, Geography"
Travel & Tourism Operations,Sterling Holidays,Bhopal,1 Nov'24,12 Months,"? 5,000-8,000 /month","Process Optimization, Excel, Communication, Project Management, Tourism Knowledge, Customer Service, Geography, Travel Knowledge"
Forensic Psychology,TherapyRoute India,Dehradun,1 Oct'24,8 Months,"? 11,000-21,000 /month","Psychology, Research, Counseling, Data Analysis, Communication"
Housekeeping & Facilities Management,Sterling Holidays,Chandigarh,15 Aug'24,6 Months,"? 7,500-10,500 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Public Administration,Observer Research Foundation (ORF),Delhi,1 Jul'24,2 Months,"? 10,000 /month","MS Office, Communication, Organization, Data Entry, Scheduling"
Disaster Risk Reduction & Resilience,Centre for Science and Environment (CSE),Jaipur,Immediately,2 Months,"? 9,000-11,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Poultry Science & Management,NDDB (National Dairy Development Board),Pune,1 Jul'24,6 Months,"? 11,000-21,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Community Pharmacy Practice,Natco Pharma,Mumbai,1 Jul'24,8 Months,"? 16,000-21,000 /month","Community Management, Social Media, Communication, Event Planning, Pharmacology, Drug Interactions, Clinical Research, Documentation"
Architectural Visualization (3D Rendering),Tata Housing,Kochi,1 Feb'25,2 Months,"? 14,000-17,000 /month","Blender/Maya, 3D Modeling, Texturing, Rendering"
Poultry Science & Management,Drools Pet Food,Chennai,Immediately,8 Months,"? 11,000-13,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Bank Audit Assistantship,Haribhakti & Co,Lucknow,Immediately,12 Months,"? 10,000-12,000 /month","MS Office, Communication, Organization, Time Management, Auditing Standards, Excel, Attention to Detail, Financial Statements"
Constitutional Law Research,Law Commission of India,Lucknow,1 Aug'24,8 Months,"? 10,000-13,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Corporate Law,Bombay High Court,Jaipur,Immediately,4 Months,"? 5,000-7,000 /month","Communication, Professionalism, Presentation, MS Office, Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Poultry Science & Management,KVAFSU Bidar,Kochi,1 Jan'25,12 Months,Unpaid,"Leadership, Communication, Planning, MS Office, Problem Solving"
Taxation (GST / Indirect Tax),Sharp & Tannan,Kochi,1 Nov'24,10 Months,"? 5,000-7,000 /month","Tax Laws, GST, Income Tax, Compliance, Excel, Financial Analysis"
Biopharmaceutics & Pharmacokinetics,Alkem Laboratories,Kolkata,15 Jul'24,3 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Exhibition & Set Design,Rahul Mehrotra Associates (RMA),Kolkata,Immediately,12 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
War & Conflict Reporting,Times of India,Coimbatore,1 Jul'24,6 Months,Unpaid,"Report Writing, Data Analysis, MS Office, Communication"
Housekeeping & Facilities Management,Hilton India,Hyderabad,1 Sep'24,8 Months,"? 5,000-15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Legal Research & Drafting,S&R Associates,Work From Home,1 Oct'24,8 Months,"? 10,000-20,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Legal Research, Contract Drafting, Legal Writing, Compliance"
Art Therapy & Expressive Arts Therapy,Fortis Mental Health Program,Bhopal,Immediately,3 Months,"? 3,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Contract Drafting & Review,Vakilsearch,Kochi,1 Feb'25,1 Month,"? 10,000-15,000 /month","Contract Drafting, Legal Research, Negotiation, Documentation"
Investigative Journalism,Doordarshan,Chennai,1 Nov'24,1 Month,"? 10,000 /month","Journalism, Writing, Research, Interviewing, Fact-checking"
Environmental Education & Outreach,Adani Green Energy,Hyderabad,1 Nov'24,2 Months,Unpaid,"Environmental Science, Data Analysis, Research, Sustainability"
Healthcare Data Analytics,Lilavati Hospital Mumbai,Work From Home,1 Jul'24,12 Months,"? 30,000 /month","Python, SQL, Excel, Tableau/Power BI, Statistics, Python/Excel, Data Visualization, Power BI/Tableau"
Print Journalism,Mint (HT Media),Bangalore,15 Aug'24,10 Months,Unpaid,"Journalism, Writing, Research, Interviewing, Fact-checking"
Livestock Health Management,TANUVAS Chennai,Jaipur,1 Jul'24,10 Months,"? 12,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Heritage Tourism & Cultural Curatorship,Swiggy (Dining),Ahmedabad,Immediately,3 Months,"? 20,000 /month","Tourism Knowledge, Communication, Customer Service, Geography"
Internal Audit,S.S. Kothari Mehta & Co,Work From Home,1 Oct'24,10 Months,"? 5,000-7,000 /month","Communication, Eagerness to Learn, Teamwork, Basic Technical Skills, Auditing Standards, Excel, Attention to Detail, Financial Statements"
Organic Farming & Sustainability,BharatAgri,Nagpur,1 Aug'24,3 Months,Unpaid,"Sustainability, Environmental Science, Research, Report Writing"
Agricultural Research & Development,IARI New Delhi (Pusa Institute),Chandigarh,1 Aug'24,6 Months,"? 9,000-11,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Fashion Design & Illustration,FabAlley,Kochi,1 Feb'25,12 Months,"? 15,000 /month","Fashion Illustration, Textile Knowledge, Adobe Illustrator, Trend Analysis, Sewing, Drawing, Creativity, Digital Art"
Geriatric Psychology,JNU (Centre for Psychology),Jaipur,Immediately,12 Months,Unpaid,"Psychology, Research, Counseling, Data Analysis, Communication"
Costume Design (Film & Theatre),Bewakoof.com,Noida,1 Sep'24,10 Months,"? 15,000 /month","Filmmaking, Video Editing, Screenwriting, Direction, Cinematography"
Teaching Assistantship (Chemistry),Ashoka University,Dehradun,1 Sep'24,4 Months,"? 20,000 /month","MS Office, Communication, Organization, Time Management, Subject Knowledge, Patience, Lesson Planning"
Social Psychology Research,Fortis Mental Health Program,Gurgaon,1 Aug'24,4 Months,Unpaid,"Psychology, Research, Counseling, Data Analysis, Communication, Research Methodology, Academic Writing, Literature Review"
Food Safety & Hygiene (FSSAI Compliance),SOTC Travel,Ahmedabad,1 Aug'24,4 Months,"? 5,000-7,000 /month","Regulatory Compliance, Documentation, Risk Assessment, Attention to Detail, Food Science, Lab Skills, Quality Control, Research"
Architectural Design,Rahul Mehrotra Associates (RMA),Kochi,1 Jul'24,6 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
RTI & Transparency Advocacy,Takshashila Institution,Jaipur,1 Feb'25,1 Month,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
Precision Agriculture & IoT in Farming,NDRI Karnal,Delhi,1 Oct'24,8 Months,"? 7,500 /month","Agricultural Science, Research, Data Analysis, Field Work, IoT Protocols, Arduino/Raspberry Pi, C/C++, Sensors"
Costume Design (Film & Theatre),NIFT (National Institute of Fashion Technology),Work From Home,1 Jul'24,4 Months,"? 7,500-9,500 /month","Filmmaking, Video Editing, Screenwriting, Direction, Cinematography"
Regulatory Affairs (Pharma),Sun Pharmaceutical Industries,Kolkata,Immediately,6 Months,"? 5,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Internal Audit,Tax2win,Pune,1 Jan'25,4 Months,"? 12,500-17,500 /month","Communication, Eagerness to Learn, Teamwork, Basic Technical Skills, Auditing Standards, Excel, Attention to Detail, Financial Statements"
Airline Route Planning,Honeywell Aerospace India,Chandigarh,1 Oct'24,6 Months,"? 5,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Fashion Photography & Lookbook Creation,Abraham & Thakore,Jaipur,1 Feb'25,1 Month,"? 10,000-15,000 /month","Camera Skills, Lighting, Adobe Lightroom, Composition, Photo Editing"
Wildlife Veterinary Medicine,IVRI (Indian Veterinary Research Institute) Izatnagar,Chennai,1 Aug'24,3 Months,"? 9,000 /month","Veterinary Science, Animal Care, Clinical Skills, Research, Wildlife Biology, Field Research, Data Collection, Conservation"
Tax Planning & Advisory,Deskera India,Coimbatore,15 Aug'24,3 Months,"? 20,000 /month","Tax Laws, Financial Analysis, Compliance, Excel"
Public Policy Research,UNDP India,Pune,15 Jul'24,10 Months,"? 20,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Pedagogy & Instructional Design,Krea University,Bhopal,1 Oct'24,6 Months,"? 10,000-12,000 /month","Go, Concurrency, REST APIs, Microservices"
Insolvency Resolution Advisory,S.S. Kothari Mehta & Co,Hyderabad,Immediately,8 Months,"? 10,000-12,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Dental Research & Clinical Assistance,Aster DM Healthcare,Delhi,1 Oct'24,6 Months,Unpaid,"Research Methodology, Data Analysis, Academic Writing, Literature Review, Clinical Research, Data Collection, Documentation, GCP"
Forest Management & Biodiversity Research,Wildlife Trust of India,Jaipur,15 Jul'24,4 Months,"? 15,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving, Research Methodology, Data Analysis, Academic Writing"
Veterinary Pharmacology Research,MAFSU Nagpur,Ahmedabad,1 Aug'24,1 Month,Unpaid,"Veterinary Science, Animal Care, Clinical Skills, Research, Research Methodology, Data Analysis, Academic Writing, Literature Review"
Cargo & Logistics (Aviation),Boeing India,Coimbatore,1 Nov'24,1 Month,"? 5,000 /month","Logistics Management, Excel, Supply Chain, Coordination, Go, Concurrency, REST APIs, Microservices"
Landscape Architecture,WeWork India,Ahmedabad,Immediately,8 Months,"? 15,000 /month","AutoCAD, Revit, SketchUp, Design Thinking, 3D Visualization"
"Accessory Design (Jewelry, Bags, Footwear)",Titan Company (Tanishq/Fastrack),Dehradun,1 Nov'24,8 Months,"? 7,500-9,500 /month","Communication, Problem Solving, Teamwork, MS Office"
Labour & Employment Law,Delhi High Court,Coimbatore,1 Nov'24,1 Month,"? 5,000-7,000 /month","Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Medical Imaging & Radiology Assistance,MedGenome,Bangalore,1 Jul'24,2 Months,Unpaid,"Medical Knowledge, Clinical Skills, Research, Documentation"
Landscape Architecture,School of Planning & Architecture Delhi,Mumbai,1 Feb'25,2 Months,"? 10,000-12,000 /month","AutoCAD, Revit, SketchUp, Design Thinking, 3D Visualization"
Physiotherapy Assistantship,HealthKart,Indore,15 Jul'24,3 Months,"? 5,000 /month","MS Office, Communication, Organization, Time Management, IoT Protocols, Arduino/Raspberry Pi, C/C++, Sensors"
Cabin Crew Training Coordination,SpiceJet,Chandigarh,1 Aug'24,12 Months,"? 20,000-25,000 /month","Training, Communication, Presentation, Subject Knowledge"
Educational Psychology,TherapyRoute India,Lucknow,1 Feb'25,4 Months,Unpaid,"Psychology, Research, Counseling, Data Analysis, Communication"
Aviation Operations & Ground Handling,IndiGo (InterGlobe Aviation),Indore,15 Aug'24,6 Months,"? 15,000-18,000 /month","Process Optimization, Excel, Communication, Project Management"
Banking & Finance Law,Lakshmikumaran & Sridharan,Work From Home,1 Oct'24,12 Months,Unpaid,"Financial Analysis, Excel, Accounting Basics, Financial Modeling, Banking Knowledge, Customer Service, Legal Research, Case Analysis"
Physiotherapy Assistantship,AIIMS Bhopal,Ahmedabad,1 Nov'24,12 Months,"? 20,000-23,000 /month","MS Office, Communication, Organization, Time Management, IoT Protocols, Arduino/Raspberry Pi, C/C++, Sensors"
Airport Management,Air India,Hyderabad,1 Nov'24,8 Months,"? 10,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Wealth Management & Financial Planning,Tax2win,Ahmedabad,1 Sep'24,4 Months,"? 20,000 /month","Financial Planning, Client Management, Investment Products, Communication, Leadership, Planning, MS Office, Problem Solving"
Hotel Operations & Front Office,SOTC Travel,Gurgaon,1 Sep'24,10 Months,"? 10,000-20,000 /month","Process Optimization, Excel, Communication, Project Management, MS Office, Organization, Filing, Scheduling"
Architectural Design,Tata Housing,Jaipur,1 Aug'24,12 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Organizational Psychology / I-O Psychology,Christ University (Psychology),Lucknow,1 Jul'24,4 Months,Unpaid,"Psychology, Research, Counseling, Data Analysis, Communication"
Drug Formulation & Development,AstraZeneca India,Chennai,1 Nov'24,1 Month,"? 20,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Biomedical Engineering Research,ICMR,Mumbai,15 Jul'24,12 Months,"? 20,000-30,000 /month","Biomedical Knowledge, MATLAB, Lab Skills, Medical Devices, Research Methodology, Data Analysis, Academic Writing, Literature Review"
Research Assistantship (Data Science),NIT Trichy,Hyderabad,1 Jan'25,3 Months,Unpaid,"Python, Pandas, NumPy, Scikit-learn, Statistics, Data Visualization, MS Office, Communication"
Geriatric Psychology,IHBAS Delhi,Nagpur,15 Jul'24,12 Months,"? 12,000 /month","Psychology, Research, Counseling, Data Analysis, Communication"
University Administration,Plaksha University,Bangalore,1 Feb'25,1 Month,"? 10,000 /month","MS Office, Communication, Organization, Data Entry, Scheduling"
Restaurant Management,Sterling Holidays,Mumbai,1 Feb'25,8 Months,"? 5,000-10,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Flight Dispatch & Operations Control,Airports Authority of India (AAI),Mumbai,1 Sep'24,4 Months,"? 5,000 /month","Process Optimization, Excel, Communication, Project Management"
Airline Revenue Management,DGCA (Directorate General of Civil Aviation),Delhi,1 Jan'25,2 Months,"? 10,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Wildlife Conservation & Ecology,Wildlife Trust of India,Bhopal,1 Feb'25,8 Months,"? 5,000-15,000 /month","Wildlife Biology, Field Research, Data Collection, Conservation"
Insolvency & Bankruptcy Law,Law Commission of India,Pune,1 Feb'25,3 Months,"? 10,000 /month","Legal Research, Case Analysis, Legal Writing, Regulatory Compliance"
Epidemiology & Biostatistics,Columbia Asia Hospitals,Bhopal,1 Oct'24,12 Months,"? 15,000-25,000 /month","Statistics, R/Python, Data Analysis, Probability, Hypothesis Testing, Swift, Xcode, UIKit"
